category,model_correct_bin,roi_labelName,count_images_bin,avg_emphasis,count_drawings_with_part,prop_drawings,label,levels
lamp,2,stand,31,0.3010955070377209,10,0.3225806451612903,stand,stand
lamp,3,base,31,0.3052384393761291,15,0.4838709677419355,base,base
lamp,3,cord,31,0.2742920402124305,3,0.0967741935483871,cord,cord
lamp,3,lampshade,31,0.46127040407321834,25,0.8064516129032258,lampshade,lampshade
lamp,3,lightbulb,31,0.17101708502689375,8,0.25806451612903225,lightbulb,lightbulb
lamp,3,stand,31,0.2437104162034105,6,0.1935483870967742,stand,stand
lamp,4,base,31,0.25588496639196495,18,0.5806451612903226,base,base
lamp,4,cord,31,0.09112169536571967,3,0.0967741935483871,cord,cord
lamp,4,lampshade,31,0.46789775297183767,28,0.9032258064516129,lampshade,lampshade
lamp,4,lightbulb,31,0.1740115770454191,12,0.3870967741935484,lightbulb,lightbulb
lamp,4,stand,31,0.220379842335157,9,0.2903225806451613,stand,stand
hat,1,band,32,0.3053781783064422,5,0.15625,band,band
hat,1,brim,32,0.4147626221891009,13,0.40625,brim,brim
hat,1,crown,32,0.31100623448144327,7,0.21875,crown,crown
hat,1,top,32,0.33690104667117865,10,0.3125,top,top
hat,1,visor,32,0.2037741337156059,1,0.03125,visor,visor
hat,2,band,31,0.26352451428127904,9,0.2903225806451613,band,band
hat,2,brim,31,0.40293982680493323,19,0.6129032258064516,brim,brim
hat,2,crown,31,0.2885813713744143,7,0.22580645161290322,crown,crown
hat,2,top,31,0.4056649673071994,15,0.4838709677419355,top,top
hat,2,visor,31,0.19028782130182914,4,0.12903225806451613,visor,visor
hat,3,band,31,0.22607274589969845,6,0.1935483870967742,band,band
hat,3,brim,31,0.38802920143714426,18,0.5806451612903226,brim,brim
hat,3,crown,31,0.3785530278280384,6,0.1935483870967742,crown,crown
hat,3,top,31,0.3833507037344773,13,0.41935483870967744,top,top
hat,3,visor,31,0.34424903458963807,2,0.06451612903225806,visor,visor
hat,4,band,31,0.14718784493713175,6,0.1935483870967742,band,band
hat,4,brim,31,0.3683469691075185,17,0.5483870967741935,brim,brim
hat,4,crown,31,0.33283044353158586,6,0.1935483870967742,crown,crown
hat,4,top,31,0.4088757844520613,16,0.5161290322580645,top,top
hat,4,visor,31,0.4840331954061706,3,0.0967741935483871,visor,visor
bottle,1,cap,32,0.27584951275548636,5,0.15625,cap,cap
bottle,1,cork,32,0.26150221275999025,1,0.03125,cork,cork
bottle,1,label,32,0.28836663827847614,3,0.09375,label,label
bottle,1,neck,32,0.2256667912025708,2,0.0625,neck,neck
bottle,2,base,31,0.2463202506906303,4,0.12903225806451613,base,base
bottle,2,cap,31,0.2738124656280956,17,0.5483870967741935,cap,cap
bottle,2,label,31,0.3672128856381234,5,0.16129032258064516,label,label
bottle,2,neck,31,0.19676564568667243,9,0.2903225806451613,neck,neck
bottle,3,base,31,0.260205359653907,6,0.1935483870967742,base,base
bottle,3,cap,31,0.2828570613206623,15,0.4838709677419355,cap,cap
bottle,3,cork,31,0.19814560879328919,2,0.06451612903225806,cork,cork
bottle,3,label,31,0.22882036967345146,5,0.16129032258064516,label,label
bottle,3,neck,31,0.2495833679215628,11,0.3548387096774194,neck,neck
bottle,4,base,31,0.18647117840885574,9,0.2903225806451613,base,base
bottle,4,cap,31,0.18628710290194628,18,0.5806451612903226,cap,cap
bottle,4,cork,31,0.09639378350283079,2,0.06451612903225806,cork,cork
bottle,4,label,31,0.2500526523158378,6,0.1935483870967742,label,label
bottle,4,neck,31,0.2109660597501178,12,0.3870967741935484,neck,neck
car,1,hood,29,0.1564546381539411,3,0.10344827586206896,hood,hood
car,1,roof,29,0.2003565287476688,7,0.2413793103448276,roof,roof
car,1,trunk,29,0.1287864227591839,2,0.06896551724137931,trunk,trunk
car,1,wheel,29,0.36759250250114134,18,0.6206896551724138,wheel,wheel
car,1,window,29,0.14120266182436458,4,0.13793103448275862,window,window
car,2,hood,28,0.11637783482286179,10,0.35714285714285715,hood,hood
car,2,roof,28,0.1586453196843139,14,0.5,roof,roof
car,2,trunk,28,0.12714843688972155,11,0.39285714285714285,trunk,trunk
car,2,wheel,28,0.3314537968260104,22,0.7857142857142857,wheel,wheel
car,2,window,28,0.13762366026811437,12,0.42857142857142855,window,window
car,3,hood,28,0.15894456720276945,8,0.2857142857142857,hood,hood
car,3,roof,28,0.16987462469050013,13,0.4642857142857143,roof,roof
car,3,trunk,28,0.13209038565451778,9,0.32142857142857145,trunk,trunk
car,3,wheel,28,0.29174301375825584,23,0.8214285714285714,wheel,wheel
car,3,window,28,0.14722792788890376,13,0.4642857142857143,window,window
car,4,hood,28,0.17523675706279884,7,0.25,hood,hood
