category,model_correct_bin,roi_labelName,avg_emphasis,count_drawings_with_part,count_images_bin,prop_drawings
tiger,1,tail,0.14230218861473176,10,22,0.45454545454545453
tiger,2,ear,0.15114005801478428,10,21,0.47619047619047616
tiger,2,eye,0.049931210819094775,16,21,0.7619047619047619
tiger,2,leg,0.2073715334498607,20,21,0.9523809523809523
tiger,2,mouth,0.031841594369908424,10,21,0.47619047619047616
tiger,2,tail,0.11907188992659183,11,21,0.5238095238095238
tiger,3,ear,0.15781995806865565,15,21,0.7142857142857143
tiger,3,eye,0.04996332622589034,16,21,0.7619047619047619
tiger,3,leg,0.17688652044658565,12,21,0.5714285714285714
tiger,3,mouth,0.04296329833982367,14,21,0.6666666666666666
tiger,3,tail,0.11108382324261253,13,21,0.6190476190476191
tiger,4,ear,0.09326326194044093,14,20,0.7
tiger,4,eye,0.02747000158820927,15,20,0.75
tiger,4,leg,0.16835967244010666,17,20,0.85
tiger,4,mouth,0.024355859487070197,9,20,0.45
tiger,4,tail,0.12725113483974673,11,20,0.55
train,1,engine,0.178651760475162,3,10,0.3
train,1,roof,0.05802138854272036,2,10,0.2
train,1,wagon,0.2539790359125813,4,10,0.4
train,1,wheel,0.35490005682101733,6,10,0.6
train,1,window,0.24094903659685946,2,10,0.2
train,2,engine,0.15044436998132737,1,9,0.1111111111111111
train,2,roof,0.05449143926030482,1,9,0.1111111111111111
train,2,wagon,0.3354429924875127,3,9,0.3333333333333333
train,2,wheel,0.227881977969917,6,9,0.6666666666666666
train,2,window,0.13735523398584687,6,9,0.6666666666666666
train,3,engine,0.2682196571405502,2,7,0.2857142857142857
train,3,roof,0.13364472084317064,1,7,0.14285714285714285
train,3,wagon,0.3254601219050477,5,7,0.7142857142857143
train,3,wheel,0.2951032149641945,7,7,1
train,3,window,0.13374245707143445,2,7,0.2857142857142857
train,4,roof,0.07431214588328709,3,6,0.5
train,4,wagon,0.21483827542702028,3,6,0.5
train,4,wheel,0.37100711456554086,5,6,0.8333333333333334
train,4,window,0.07510250126090638,2,6,0.3333333333333333
